RedPoS,label,ortografi
ADJ,O,fint
....,O,.
V_PRES,O,skal
PRON_PERS,B-NP,vi
ADV,O,lige
V_INF,O,vikle
ADJ,O,alt
PRON_PERS,B-NP,det
ADV,O,her
ADV,O,ud
....,O,.
ADV,O,så
PRON_INTER_REL,B-NP,hvad
V_PAST,O,lavede
PRON_PERS,B-NP,I
ADV,O,så
ADV,O,nede
PRÃ†P,O,i
N,B-NP,fysik
ADV,O,nu
ADV,O,her
..,O,.
PRÃ†P,O,i
ADJ,B-NP,første
N,I-NP,del
PRÃ†P,O,af
N,B-NP,timen
…,O,.
INTERJ,O,øh
…,O,.
UNIK,O,der
V_PAST,O,gennemgik
PRON_PERS,B-NP,han
ADV,O,bare
…,O,.
PRÃ†P,O,om
PRON_PERS,B-NP,det
PRON_PERS,B-NP,vi
V_PAST,O,skulle
PRÃ†P,O,til
UNIK,O,at
V_INF,O,lave
..,O,.
N,B-NP,forsøg
PRÃ†P,O,om
..,O,.
INTERJ,O,nå
INTERJ,O,ha
..,O,.
INTERJ,O,ha
ADV,O,så
PRON_PERS,B-NP,det
V_PRES,O,vil
V_INF,O,sige
PRON_PERS,B-NP,dem
V_PRES,O,får
PRON_PERS,B-NP,du
ADV,O,ikke
V_PARTC_PAST,O,lavet
ADJ,O,rigtig
..,O,..
INTERJ,O,ha
INTERJ,O,ha
INTERJ,O,øh
INTERJ,O,nej
PRON_PERS,B-NP,det
V_PRES,O,tror
PRON_PERS,B-NP,jeg
ADV,O,ikke
..,O,..
INTERJ,O,nej
….,O,….
PRON_PERS,B-NP,det
V_PRES,O,er
INTERJ,O,okay
..,O,..
V_PRES,O,er
PRON_PERS,B-NP,det
PRON_DEMO,B-NP,det
INTERJ,O,ha
..,O,..
PRON_PERS,B-NP,det
V_PRES,O,er
ADJ,O,godt
PRON_INTER_REL,B-NP,hvad
V_MED_PRES,O,synes
PRON_PERS,B-NP,du
PRÃ†P,O,om
N,B-NP,fysik
….,O,….
INTERJ,O,øh
PRON_PERS,B-NP,jeg
...,O,...
PRON_PERS,B-NP,jeg
V_PRES,O,har
ADV,O,ikke
ADJ,O,rigtig
V_PARTC_PAST,O,forstået
PRON_DEMO,B-NP,det
ADJ,I-NP,hele
...,O,...
INTERJ,O,øh
….,O,….
PRÃ†P,O,på
PRON_UBST,B-NP,et
SKONJ,I-NP,eller
PRON_UBST,I-NP,andet
N,I-NP,tidspunkt
V_PRES,O,har
PRON_PERS,B-NP,jeg
PRÃ†P,O,i
PRON_UBST,B-NP,hvert
N,I-NP,fald
V_PARTC_PAST,O,tænkt
PRON_PERS,B-NP,mig
UKONJ,O,at
...,O,...
V_INF,O,sidde
PRÃ†P,O,med
PRON_UBST,B-NP,en
SKONJ,I-NP,eller
PRON_UBST,I-NP,anden
..,O,..
UNIK,O,som
V_PRES,O,skal
V_INF,O,forklare
PRON_PERS,B-NP,mig
PRON_DEMO,B-NP,det
…,O,…
INTERJ,O,ja
….,O,….
UNIK,O,som
V_PRES,O,kan
….,O,….
INTERJ,O,mm
...,O,...
SKONJ,O,men
PRON_INTER_REL,B-NP,hvad
V_PRES,O,hedder
PRON_PERS,B-NP,det
INTERJ,O,øh
….,O,….
INTERJ,O,øh
ADV,O,så
V_PRES,O,kommer
PRON_PERS,B-NP,det
V_PRES,O,vil
V_INF,O,sige
Israh,B-NP,Israh
PRON_PERS,B-NP,hun
V_PRES,O,kommer
ADV,O,så
ADV,O,ned
..,O,..
PRON_PERS,B-NP,hun
V_PRES,O,har
ADV,O,så
ADV,O,ikke
V_PARTC_PAST,O,hørt
ADV,O,hvordan
...,O,...
INTERJ,O,nej
PRON_DEMO,B-NP,det
V_PAST,O,skulle
..,O,..
V_INF,O,gøres
SKONJ,O,og
ADV,O,så
INTERJ,O,ha
.,O,.
SKONJ,O,og
ADJ,O,omvendt
ADV,O,så
V_PRES,O,har
PRON_PERS,B-NP,du
V_PARTC_PAST,O,hørt
ADV,O,hvordan
PRON_PERS,B-NP,det
V_PRES,O,skal
V_INF,O,gøres
SKONJ,O,men
INTERJ,O,øh
..,O,..
V_PRES,O,kommer
ADV,O,ikke
PRÃ†P,O,til
UNIK,O,at
V_INF,O,gøre
PRON_DEMO,B-NP,det
...,O,...
INTERJ,O,nå
SKONJ,O,men
PRON_PERS,B-NP,det
V_PRES,O,gør
ADV,O,vel
ADV,O,ikke
INTERJ,O,øh
INTERJ,O,ja
INTERJ,O,ha
PRON_PERS,B-NP,jeg
V_PRES,O,håber
ADV,O,ikke
PRON_PERS,B-NP,det
V_PRES,O,gør
PRON_UBST,B-NP,noget
INTERJ,O,ha
INTERJ,O,ha
INTERJ,O,nej
INTERJ,O,ha
PRON_INTER_REL,B-NP,hvad
V_PRES,O,hedder
PRON_PERS,B-NP,det
V_PRES,O,vil
PRON_PERS,B-NP,du
ADV,O,ikke
V_INF,O,prøve
UNIK,O,at
V_INF,O,fortælle
ADJ,O,lidt
PRÃ†P,O,om
..,O,..
UKONJ,O,fordi
ADV,O,nu
V_PRES,O,har
PRON_PERS,B-NP,vi
ADV,O,jo
V_PARTC_PAST,O,været
ADV,O,her
PRÃ†P,O,hos
PRON_PERS,B-NP,jer
ADV,O,sÃ¥
l-,O,l-
ADV,O,altsÃ¥
ADV,O,snart
PRON_UBST,B-NP,et
N,I-NP,Ã¥r
ADJ,O,faktisk
INTERJ,O,ha
INTERJ,O,mm
..,O,..
V_PRES,O,vil
PRON_PERS,B-NP,du
ADV,O,ikke
V_INF,O,prøve
UKONJ,O,at
.,O,.
UKONJ,O,at
b-,O,b-
UNIK,O,at
V_INF,O,beskrive
ADJ,O,lidt
ADV,O,hvordan
PRON_PERS,B-NP,du
PRÃ†P,O,om
UNIK,O,der
V_PRES,O,er
V_PARTC_PAST,O,sket
PRON_UBST,B-NP,nogen
N,I-NP,ændringer
ADV,O,altså
UNIK,O,der
V_PRES,O,er
..,O,..
PRÃ†P,O,om
UNIK,O,der
V_PRES,O,er
PRON_UBST,B-NP,noget
UNIK,O,der
V_PRES,O,er
ADJ,O,anderledes
PRÃ†P,O,fra
ADV,O,dengang
PRON_PERS,B-NP,vi
V_PAST,O,begyndte
UNIK,O,at
V_INF,O,komme
PRÃ†P,O,i
N,B-NP,forhold
PRÃ†P,O,til
ADV,O,nu
...,O,...
PRÃ†P,O,i
PRON_POSS,B-NP,jeres
N,I-NP,klasse
..,O,..
INTERJ,O,mm
..,O,..
SKONJ,O,eller
PRÃ†P,O,med
PRON_PERS,B-NP,dig
ADV,O,sådan
...,O,...
PRON_PERS,B-NP,jeg
V_MED_PRES,O,synes
..,O,..
UKONJ,O,at
...,O,...
PRON_DEMO,B-NP,det
….,O,….
ADV,O,sådan
..,O,..
ADV,O,måske
.,O,.
UNIK,O,som
N,B-NP,klasse
..,O,..
V_PRES,O,er
PRON_PERS,B-NP,vi
V_PARTC_PAST,O,begyndt
..,O,..
ADV,O,her
PRÃ†P,O,i
NUM_ORD,B-NP,ottende
N,I-NP,klasse
UNIK,O,at
V_INF,O,snakke
..,O,..
ADJ,O,lidt
ADJ,O,mere
ADV,O,sammen
..,O,..
ADV,O,sådan
..,O,..
N,B-NP,drengene
SKONJ,O,og
N,B-NP,pigerne
V_PRES,O,snakker
ADJ,O,lidt
.,O,.
ADJ,O,mere
ADV,O,sammen
….,O,….
ADV,O,sådan
SKONJ,O,og
….,O,….
INTERJ,O,ja
ADV,O,så
PRÃ†P,O,på
PRON_DEMO,B-NP,den
N,I-NP,måde
V_MED_PRES,O,synes
PRON_PERS,B-NP,jeg
N,B-NP,forholdene
V_PRES,O,er
V_PARTC_PAST,O,blevet
ADJ,O,bedre
….,O,….
INTERJ,O,okay
...,O,...
ADV,O,så
INTERJ,O,øh
ADV,O,så
ADV,O,hvordan
s-,O,s-
...,O,...
ADV,O,så
PRÃ†P,O,i
NUM_ORD,B-NP,syvende
N,I-NP,klasse
SKONJ,O,eller
UKONJ,O,før
V_PAST,O,var
PRON_DEMO,B-NP,det
ADJ,O,mere
V_PARTC_PAST,O,adskilt
PRÃ†P,O,i
..,O,..
….,O,….
INTERJ,O,mm
INTERJ,O,ja
..,O,..
INTERJ,O,ja
….,O,….
V_PRES,O,er
PRON_PERS,B-NP,det
ADV,O,så
PRON_UBST,B-NP,nogen
PRÃ†P,O,af
N,B-NP,drengene
ADV,O,altså
V_PRES,O,er
PRON_PERS,B-NP,det
PRON_UBST,B-NP,nogen
ADJ,I-NP,bestemte
N,I-NP,drenge
PRON_PERS,B-NP,I
V_PRES,O,er
V_PARTC_PAST,O,begyndt
UNIK,O,at
V_INF,O,snakke
PRÃ†P,O,med
ADJ,O,mere
PRÃ†P,O,med
...,O,...
INTERJ,O,øh
PRON_PERS,B-NP,jer
N,B-NP,piger
SKONJ,O,eller
..,O,..
INTERJ,O,øh
INTERJ,O,mm
….,O,….
INTERJ,O,øh
T-,O,T-
..,O,..
Tahir,B-NP,Tahir
Mahmoud,B-NP,Mahmoud
SKONJ,O,og
Isaam,B-NP,Isaam
SKONJ,O,og
...,O,...
ADV,O,sådan
..,O,..
ADJ,O,lidt
ADJ,O,forskellig
….,O,….
INTERJ,O,okay
….,O,….
SKONJ,O,og
PRON_INTER_REL,B-NP,hvad
PRÃ†P,O,med
ADV,O,sådan
..,O,..
V_PRES,O,har
PRON_PERS,B-NP,det
V_PARTC_PAST,O,ændret
PRON_PERS,B-NP,sig
PRON_PERS,B-NP,de
..,O,..
PRON_INTER_REL,B-NP,hvem
PRON_PERS,B-NP,du
V_PRES,O,gør
ADV,O,sammen
PRÃ†P,O,med
….,O,….
INTERJ,O,øh
INTERJ,O,nej
..,O,..
PRÃ†P,O,af
N,B-NP,pigerne
..,O,..
PRÃ†P,O,af
N,B-NP,pigerne
..,O,..
V_PRES,O,går
PRON_PERS,B-NP,jeg
...,O,...
PRÃ†P,O,med
PRON_PERS,B-NP,dem
PRON_PERS,B-NP,jeg
V_PRES,O,plejer
ADV,O,nu
V_PRES,O,er
PRON_PERS,B-NP,jeg
V_PARTC_PAST,O,begyndt
PRÃ†P,O,med
UNIK,O,at
V_INF,O,snakke
ADJ,O,lidt
ADJ,O,mere
PRÃ†P,O,med
EGEN,B-NP,Josefine
...,O,...
PRON_PERS,B-NP,det
V_PAST,O,gjorde
PRON_PERS,B-NP,jeg
ADV,O,ikke
ADV,O,så
ADJ,O,meget
UKONJ,O,før
UKONJ,O,fordi
...,O,...
PRON_PERS,B-NP,jeg
V_PAST,O,havde
V_PARTC_PAST,O,valgt
UNIK,O,at
V_INF,O,sidde
ADV,O,sammen
PRÃ†P,O,med
PRON_PERS,B-NP,hende
...,O,...
ADV,O,nu
V_PAST,O,ville
PRON_PERS,B-NP,jeg
ADJ,O,godt
..,O,..
V_INF,O,prøve
UKONJ,O,at
..,O,..
N,O,arbejde
PRÃ†P,O,med
PRON_UBST,B-NP,en
PRON_UBST,I-NP,anden
...,O,...
INTERJ,O,okay
….,O,….
ADV,O,så
PRÃ†P,O,på
PRON_DEMO,B-NP,den
N,I-NP,måde
V_PRES,O,snakker
PRON_PERS,B-NP,jeg
ADJ,O,mere
PRÃ†P,O,med
EGEN,B-NP,Josefine
….,O,….
SKONJ,O,men
V_PRES,O,har
PRON_PERS,B-NP,I
V_PRES,O,har
PRON_PERS,O,I
V_PARTC_PAST,O,kunnet
V_INF,O,vælge
PRON_DEMO,B-NP,de
N,I-NP,pladser
ADV,O,altså
V_PARTC_PAST,O,haft
V_PRES,O,ønsker
omkr-,O,omkr-
..,O,..
PRÃ†P,O,i
N,B-NP,forhold
PRÃ†P,O,til
ADV,O,hvordan
PRON_PERS,B-NP,I
V_PRES,O,sidder
ADV,O,nu
..,O,..
INTERJ,O,ja
PRON_UBST,B-NP,nogle
PRON_UBST,B-NP,nogle
PRÃ†P,O,af
PRON_PERS,B-NP,os
V_PAST,O,måtte
PRON_DEMO,B-NP,selv
V_INF,O,vælge
..,O,..
PRON_PERS,B-NP,hun
..,O,..
EGEN,B-NP,Inger
V_PAST,O,holdt
N,B-NP,elevsamtale
PRON_PERS,B-NP,hun
V_PAST,O,nåede
ADV,O,ikke
ADJ,B-NP,alle
...,O,...
ADV,O,så
SKONJ,O,men
..,O,..
PRON_PERS,B-NP,hun
V_PRES,O,har
V_PARTC_PAST,O,prøvet
UNIK,O,at
V_INF,O,sætte
..,O,..
PRON_PERS,B-NP,det
ADV,O,sådan
ADJ,O,nogenlunde
….,O,….
SKONJ,O,og
UNIK,O,der
V_PAST,O,havde
PRON_PERS,B-NP,jeg
V_PARTC_PAST,O,valgt
.,O,.
UKONJ,O,at
PRON_PERS,B-NP,jeg
V_PAST,O,ville
ADJ,O,godt
V_INF,O,sidde
PRÃ†P,O,med
EGEN,B-NP,Josefine
...,O,...
INTERJ,O,okay
...,O,...
UNIK,O,som
PRON_PERS,B-NP,jeg
ADV,O,ikke
V_PRES,O,plejer
….,O,….
INTERJ,O,mm
...,O,...
PRON_INTER_REL,B-NP,hvem
V_PRES,O,sidder
PRON_PERS,B-NP,du
ADV,O,så
ADV,O,ved
PRÃ†P,B-NP,siden
PRÃ†P,O,af
..,O,..
ADV,O,ud
PRÃ†P,O,over
EGEN,B-NP,Josefine
..,O,..
PRON_PERS,B-NP,vi
V_PRES,O,sidder
PRÃ†P,O,i
N,B-NP,midten
UNIK,O,der
..,O,..
...,O,...
PRON_PERS,B-NP,vi
V_PRES,O,er
ADV,O,kun
NUM,B-NP,to
….,O,….
SKONJ,O,men
V_PRES,O,sidder
PRON_PERS,B-NP,I
ADV,O,ikke
PRÃ†P,O,i
PRON_UBST,B-NP,en
N,I-NP,hestesko
ADV,O,nu
..,O,..
INTERJ,O,jo
..,O,..
SKONJ,O,men
ADV,O,så
V_PRES,O,er
UNIK,O,der
PRON_UBST,B-NP,et
..,I-NP,..
N,I-NP,bord
ADV,O,lige
PRÃ†P,O,ved
N,B-NP,katederet
..,O,..
INTERJ,O,nå
SKONJ,O,og
ADV,O,så
V_PRES,O,sidder
PRON_PERS,B-NP,vi
ADV,O,lige
UNIK,O,der
PRÃ†P,O,i
N,B-NP,midten
..,O,..
INTERJ,O,okay
ADV,O,hvordan
V_PRES,O,kan
V_PRES,O,er
PRON_PERS,B-NP,det
UKONJ,O,fordi
UNIK,B-NP,der
ADV,O,ikke
V_PRES,O,er
N,B-NP,plads
ADV,O,ellers
SKONJ,O,eller
PRON_INTER_REL,B-NP,hvad
..,O,..
INTERJ,O,øh
INTERJ,O,ja
PRON_PERS,B-NP,det
V_PRES,O,tror
PRON_PERS,B-NP,jeg
….,O,….
SKONJ,O,men
PRON_INTER_REL,B-NP,hvad
V_PRES,O,har
PRON_PERS,B-NP,du
ADV,O,ikke
V_PARTC_PAST,O,siddet
ADV,O,tit
ADV,O,deroppe
PRÃ†P,O,foran
...,O,...
INTERJ,O,øh
….,O,….
INTERJ,O,øh
PRON_PERS,B-NP,det
V_PAST,O,var
ADV,O,ude
ADV,O,i
PRÃ†P,B-NP,siden
...,O,...
SKONJ,O,eller
INTERJ,O,okay
PRON_PERS,B-NP,det
V_PAST,O,var
f-,O,f-
ADV,O,oppe
PRÃ†P,O,foran
SKONJ,O,men
ADV,O,ude
ADV,O,i
PRÃ†P,B-NP,siden
….,O,….
ADV,O,nu
V_PRES,O,er
PRON_PERS,B-NP,vi
ADV,O,lige
..,O,..
PRÃ†P,O,ved
N,B-NP,læreren
PRÃ†P,O,ved
N,B-NP,katederet
INTERJ,O,ha
.,O,.
ADV,O,hvordan
V_PRES,O,er
PRON_DEMO,B-NP,det
...,O,...
INTERJ,O,øh
..,O,..
PRON_PERS,B-NP,det
V_PRES,O,er
ADJ,O,faktisk
INTERJ,O,okay
….,O,….
PRON_UBST,B-NP,man
V_PRES,O,kan
ADV,O,ikke
.,O,.
SKONJ,O,men
PRON_UBST,B-NP,man
V_PRES,O,er
ADJ,O,lidt
V_PARTC_PAST,O,adskilt
..,O,..
PRÃ†P,O,fra
PRON_PERS,B-NP,de
PRON_UBST,I-NP,andre
UKONJ,O,fordi
PRON_UBST,B-NP,man
V_PRES,O,skal
ADJ,B-NP,hele
N,I-NP,tiden
V_INF,O,vende
PRON_PERS,O,sig
PRÃ†P,O,om
SKONJ,O,og
ADV,O,sådan
...,O,...
UKONJ,O,når
PRON_PERS,B-NP,det
V_PRES,O,er
UKONJ,O,at
.,O,.
UNIK,B-NP,der
V_PRES,O,foregår
PRON_UBST,B-NP,noget
….,O,….
SKONJ,O,men
...,O,...
PRON_PERS,B-NP,det
V_PRES,O,er
INTERJ,O,okay
..,O,..
SKONJ,O,men
PRON_PERS,B-NP,det
V_PRES,O,er
ADV,O,da
ADJ,O,svært
UKONJ,O,at
..,O,..
UKONJ,O,hvis
PRON_UBST,B-NP,man
V_PRES,O,har
N,O,lyst
PRÃ†P,O,til
UNIK,O,at
V_INF,O,sidde
SKONJ,O,og
N,O,sladre
ADJ,O,lidt
PRÃ†P,O,i
N,B-NP,timen
INTERJ,O,mm
...,O,...
ADV,O,så
ADV,O,derfor
PRON_PERS,B-NP,jeg
PRON_PERS,I-NP,jeg
V_PRES,O,snakker
PRÃ†P,O,for
PRON_DEMO,B-NP,det
ADJ,I-NP,meste
ADV,O,bare
PRÃ†P,O,med
EGEN,B-NP,Josefine
ADV,O,sådan
…..,O,…..
ADV,O,så
INTERJ,O,ja
...,O,...
PRON_INTER_REL,B-NP,hvad
ADV,O,så
PRÃ†P,O,i
N,B-NP,frikvartererne
...,O,...
V_PRES,O,går
PRON_PERS,B-NP,du
ADV,O,så
ADV,O,sammen
PRÃ†P,O,med
PRON_PERS,B-NP,hende
UNIK,O,der
ADV,O,også
...,O,...
INTERJ,O,øh
INTERJ,O,nej
...,O,...
UNIK,O,der
V_PRES,O,går
PRON_PERS,B-NP,jeg
PRÃ†P,O,med
….,O,….
N,B-NP,pigerne
PRÃ†P,O,fra
FORK,B-NP,V
….,O,….
Fatima,B-NP,Fatima
.,O,.
SKONJ,O,og
Negasi,B-NP,Negasi
SKONJ,O,og
EGEN,B-NP,Nadia
...,O,...
INTERJ,O,okay
PRÃ†P,O,for
PRON_DEMO,B-NP,det
ADJ,I-NP,meste
….,O,….
V_PRES,O,er
PRON_PERS,B-NP,det
PRON_PERS,B-NP,dem
PRON_PERS,B-NP,du
ADJ,O,mest
V_PRES,O,går
ADV,O,sammen
PRÃ†P,O,med
..,O,..
INTERJ,O,ja
SKONJ,O,og
ADV,O,så
PRON_UBST,B-NP,nogle
N,I-NP,gange
Lamis,I-NP,Lamis
….,O,….
INTERJ,O,okay
….,O,….
SKONJ,O,men
V_PRES,O,har
PRON_PERS,B-NP,det
V_PARTC_PAST,O,ændret
PRON_PERS,B-NP,sig
PRÃ†P,O,i
N,B-NP,forhold
ADV,O,til
PRÃ†P,O,i
ADV,O,da
PRON_PERS,B-NP,vi
v-,O,v-
..,O,..
ADV,O,altså
PRÃ†P,O,i
NUM_ORD,B-NP,syvende
N,I-NP,klasse
.,O,.
INTERJ,O,nej
PRON_PERS,B-NP,det
V_PRES,O,er
ADV,O,vel
PRON_DEMO,B-NP,det
ADJ,I-NP,samme
..,O,..
INTERJ,O,okay
….,O,….
PRON_PERS,B-NP,jeg
V_PAST,O,troede
ADV,O,nemlig
ADV,O,også
PRON_PERS,B-NP,du
V_PAST,O,gik
ADJ,O,lidt
ADV,O,sammen
PRÃ†P,O,med
Selma,B-NP,Selma
SKONJ,O,og
..,O,..
INTERJ,O,mm
INTERJ,O,ja
..,O,..
PRON_PERS,B-NP,det
V_PRES,O,er
ADJ,O,lidt
ADJ,O,sjældent
SKONJ,O,og
Israh,B-NP,Israh
SKONJ,O,og
..,O,..
INTERJ,O,jo
..,O,..
PRON_PERS,B-NP,det
V_PRES,O,er
PRON_UBST,B-NP,en
N,I-NP,gang
ADV,O,imellem
INTERJ,O,okay
SKONJ,O,men
ADJ,O,mere
PRON_PERS,B-NP,de
PRON_UBST,I-NP,andre
INTERJ,O,ja
..,O,..
INTERJ,O,ja
..,O,..
PRON_INTER_REL,B-NP,hvad
ADV,O,hvor
V_PRES,O,går
PRON_PERS,B-NP,I
ADV,O,så
ADV,O,hen
ADV,O,egentlig
UKONJ,O,fordi
nog-,O,nog-
PRON_PERS,B-NP,jeg
V_PRES,O,har
ADV,O,tit
V_PARTC_PAST,O,set
UKONJ,O,at
INTERJ,O,øh
..,O,..
UKONJ,O,ligesom
ADV,O,nu
ADV,O,ikke
SKONJ,O,eller
ADV,B-NP,i
PRÃ†P,O,i
PRON_PERS,B-NP,I
V_PRES,O,er
ADV,O,væk
PRÃ†P,O,i
N,B-NP,frikvartererne
INTERJ,O,mm
..,O,..
ADV,O,så
.,O,.
ADV,O,hvor
V_PRES,O,går
PRON_PERS,B-NP,I
ADV,O,så
ADV,O,hen
..,O,..
f-,O,f-
UNIK,O,der
V_PRES,O,går
...,O,...
PRON_DEMO,B-NP,de
ADJ,I-NP,fleste
..,O,..
UNIK,O,der
V_PRES,O,ligger
ADV,O,sådan
PRON_UBST,B-NP,en
N,I-NP,pizzeria
..,O,..
ADV,O,lige
PRÃ†P,O,ved
N,B-NP,hjørnet
..,O,..
INTERJ,O,nå
PRON_DEMO,B-NP,det
..,O,..
..,O,..
PRON_DEMO,B-NP,den
ADJ,I-NP,tæt
PRÃ†P,O,ved
N,B-NP,juniorklubben
...,O,...
s-,O,s-
..,O,..
PRON_PERS,B-NP,det
V_PRES,O,er
ADV,O,næsten
ADJ,B-NP,hele
N,I-NP,skolen
UNIK,B-NP,der
V_PRES,O,går
ADV,O,derhen
..,O,..
INTERJ,O,ha
ADV,O,så
PRON_PERS,B-NP,de
V_PRES,O,har
PRON_UBST,B-NP,en
N,I-NP,omsætning
ADV,O,lige
ADV,O,så
ADV,O,snart
UNIK,B-NP,der
V_PRES,O,er
N,B-NP,frikvarter
ADV,O,så
...,O,...
INTERJ,O,okay
….,O,….
INTERJ,O,øh
ADV,O,så
V_PRES,O,vælter
PRON_PERS,B-NP,det
ADV,O,ind
..,O,..
PRON_INTER_REL,B-NP,hvad
PRÃ†P,O,med
PRON_INTER_REL,B-NP,hvad
V_PRES,O,hedder
PRON_PERS,B-NP,det
INTERJ,O,øh
...,O,...
V_PRES,O,er
PRON_PERS,B-NP,du
V_PARTC_PAST,O,begyndt
UNIK,O,at
V_INF,O,komme
PRÃ†P,O,i
N,B-NP,juniorklubben
...,O,...
